연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.06304433
4,01-03 01:00,공주,0.065976754
4,01-03 02:00,공주,0.067510575
4,01-03 03:00,공주,0.07227282
4,01-03 04:00,공주,0.074152246
4,01-03 05:00,공주,0.077014156
4,01-03 06:00,공주,0.08128585
4,01-03 07:00,공주,0.08412564
4,01-03 08:00,공주,0.08548668
4,01-03 09:00,공주,0.08576518
4,01-03 10:00,공주,0.07808365
4,01-03 11:00,공주,0.07109039
4,01-03 12:00,공주,0.044798285
4,01-03 13:00,공주,0.023531113
4,01-03 14:00,공주,0.020511627
4,01-03 15:00,공주,0.028006108
4,01-03 16:00,공주,0.03367771
4,01-03 17:00,공주,0.037877746
4,01-03 18:00,공주,0.041702278
4,01-03 19:00,공주,0.04491406
4,01-03 20:00,공주,0.04997302
4,01-03 21:00,공주,0.05630993
4,01-03 22:00,공주,0.05823803
4,01-03 23:00,공주,0.059402086
4,01-04 00:00,공주,0.08142339
4,01-04 01:00,공주,0.08594675
4,01-04 02:00,공주,0.0879182
4,01-04 03:00,공주,0.09096314
4,01-04 04:00,공주,0.09060824
4,01-04 05:00,공주,0.09018557
4,01-04 06:00,공주,0.08996563
4,01-04 07:00,공주,0.08917478
4,01-04 08:00,공주,0.089357466
4,01-04 09:00,공주,0.090924665
4,01-04 10:00,공주,0.08555725
4,01-04 11:00,공주,0.07658064
4,01-04 12:00,공주,0.055606827
4,01-04 13:00,공주,0.028713858
4,01-04 14:00,공주,0.025091806
4,01-04 15:00,공주,0.028975759
4,01-04 16:00,공주,0.032492198
4,01-04 17:00,공주,0.036441933
4,01-04 18:00,공주,0.041730426
4,01-04 19:00,공주,0.04559377
4,01-04 20:00,공주,0.049755007
4,01-04 21:00,공주,0.055475246
4,01-04 22:00,공주,0.059474513
4,01-04 23:00,공주,0.06470842
4,01-05 00:00,공주,0.103187054
4,01-05 01:00,공주,0.106014594
4,01-05 02:00,공주,0.10535437
4,01-05 03:00,공주,0.10421918
4,01-05 04:00,공주,0.10181392
4,01-05 05:00,공주,0.097170316
4,01-05 06:00,공주,0.09491291
4,01-05 07:00,공주,0.090372846
4,01-05 08:00,공주,0.08944602
4,01-05 09:00,공주,0.04943275
4,01-05 10:00,공주,0.030582588
4,01-05 11:00,공주,0.022219425
4,01-05 12:00,공주,0.021133702
4,01-05 13:00,공주,0.008311123
4,01-05 14:00,공주,0.012240005
4,01-05 15:00,공주,0.012950245
4,01-05 16:00,공주,0.0051675607
4,01-05 17:00,공주,-0.013538292
