연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.03336437
4,01-03 01:00,공주,0.030409899
4,01-03 02:00,공주,0.03334536
4,01-03 03:00,공주,0.046960957
4,01-03 04:00,공주,0.06710625
4,01-03 05:00,공주,0.08269183
4,01-03 06:00,공주,0.075834066
4,01-03 07:00,공주,0.062218457
4,01-03 08:00,공주,0.04516092
4,01-03 09:00,공주,0.027962923
4,01-03 10:00,공주,0.007867172
4,01-03 11:00,공주,0.013055101
4,01-03 12:00,공주,0.06278384
4,01-03 13:00,공주,0.04763723
4,01-03 14:00,공주,0.015537359
4,01-03 15:00,공주,-0.0143901855
4,01-03 16:00,공주,-0.03325762
4,01-03 17:00,공주,-0.04745786
4,01-03 18:00,공주,-0.06106814
4,01-03 19:00,공주,-0.05846655
4,01-03 20:00,공주,-0.014898866
4,01-03 21:00,공주,0.04033503
4,01-03 22:00,공주,0.092190415
4,01-03 23:00,공주,0.15293896
4,01-04 00:00,공주,0.14415169
4,01-04 01:00,공주,0.14494199
4,01-04 02:00,공주,0.15472046
4,01-04 03:00,공주,0.1500042
4,01-04 04:00,공주,0.13474117
4,01-04 05:00,공주,0.117054254
4,01-04 06:00,공주,0.09685506
4,01-04 07:00,공주,0.07691854
4,01-04 08:00,공주,0.06390917
4,01-04 09:00,공주,0.055404097
4,01-04 10:00,공주,0.06900895
4,01-04 11:00,공주,0.06602192
4,01-04 12:00,공주,0.01244697
4,01-04 13:00,공주,-0.00065597147
4,01-04 14:00,공주,0.018344037
4,01-04 15:00,공주,0.030439235
4,01-04 16:00,공주,0.04327935
4,01-04 17:00,공주,0.050821617
4,01-04 18:00,공주,0.0470675
4,01-04 19:00,공주,0.048310146
4,01-04 20:00,공주,0.06360963
4,01-04 21:00,공주,0.06798184
4,01-04 22:00,공주,0.050066337
4,01-04 23:00,공주,0.044325277
4,01-05 00:00,공주,0.05528555
4,01-05 01:00,공주,0.060491048
4,01-05 02:00,공주,0.053565156
4,01-05 03:00,공주,0.03347633
4,01-05 04:00,공주,0.022004843
4,01-05 05:00,공주,0.008136317
4,01-05 06:00,공주,-0.02101323
4,01-05 07:00,공주,-0.04234779
4,01-05 08:00,공주,-0.05373478
4,01-05 09:00,공주,-0.09639369
4,01-05 10:00,공주,-0.073314846
4,01-05 11:00,공주,-0.048705056
4,01-05 12:00,공주,-0.0242977
4,01-05 13:00,공주,-0.017877609
4,01-05 14:00,공주,-0.009041011
4,01-05 15:00,공주,-0.0005235076
4,01-05 16:00,공주,0.026611462
4,01-05 17:00,공주,0.12089893
4,01-05 18:00,공주,0.17975372
4,01-05 19:00,공주,0.18336347
4,01-05 20:00,공주,0.17648186
4,01-05 21:00,공주,0.16532555
4,01-05 22:00,공주,0.19630432
4,01-05 23:00,공주,0.593051
4,01-08 00:00,공주,0.04462012
4,01-08 01:00,공주,0.043111548
4,01-08 02:00,공주,0.04959088
4,01-08 03:00,공주,0.05242127
4,01-08 04:00,공주,0.039255798
4,01-08 05:00,공주,0.017219745
4,01-08 06:00,공주,-0.0051871613
4,01-08 07:00,공주,-0.023477823
4,01-08 08:00,공주,-0.038688682
4,01-08 09:00,공주,-0.04334621
4,01-08 10:00,공주,-0.045320123
4,01-08 11:00,공주,-0.002069071
4,01-08 12:00,공주,0.020730361
4,01-08 13:00,공주,-0.01940544
4,01-08 14:00,공주,-0.06458874
4,01-08 15:00,공주,-0.10487701
4,01-08 16:00,공주,-0.15136474
4,01-08 17:00,공주,-0.17316695
4,01-08 18:00,공주,-0.14168851
4,01-08 19:00,공주,-0.08421028
4,01-08 20:00,공주,-0.02576346
4,01-08 21:00,공주,0.03281726
4,01-08 22:00,공주,0.07915324
4,01-08 23:00,공주,0.13665242
4,01-09 00:00,공주,0.1552101
4,01-09 01:00,공주,0.13887143
4,01-09 02:00,공주,0.13448018
4,01-09 03:00,공주,0.124700345
4,01-09 04:00,공주,0.12328928
4,01-09 05:00,공주,0.1176408
4,01-09 06:00,공주,0.11315347
4,01-09 07:00,공주,0.11469875
4,01-09 08:00,공주,0.12020169
4,01-09 09:00,공주,0.13655797
4,01-09 10:00,공주,0.13875638
4,01-09 11:00,공주,0.13265918
4,01-09 12:00,공주,0.07174085
4,01-09 13:00,공주,0.054623127
4,01-09 14:00,공주,0.06569591
4,01-09 15:00,공주,0.0942259
4,01-09 16:00,공주,0.10911587
4,01-09 17:00,공주,0.1131807
4,01-09 18:00,공주,0.12715511
4,01-09 19:00,공주,0.13931192
4,01-09 20:00,공주,0.13255244
4,01-09 21:00,공주,0.115537405
4,01-09 22:00,공주,0.0847439
4,01-09 23:00,공주,0.08870667
4,01-10 00:00,공주,0.10830894
4,01-10 01:00,공주,0.10746218
4,01-10 02:00,공주,0.102142476
4,01-10 03:00,공주,0.087879896
4,01-10 04:00,공주,0.06314426
4,01-10 05:00,공주,0.025793374
4,01-10 06:00,공주,0.009414449
4,01-10 07:00,공주,0.0029990673
4,01-10 08:00,공주,-0.018670112
4,01-10 09:00,공주,-0.07864067
4,01-10 10:00,공주,-0.05195291
4,01-10 11:00,공주,-0.018120216
4,01-10 12:00,공주,0.010093585
4,01-10 13:00,공주,0.01496318
4,01-10 14:00,공주,0.018419415
